Отметка времени,"Количество людей в зале (вместе с мамами в детской, исключая детей 0 - 3 лет)",Количество членов церкви в зале
24.10.2021 10:40:16,65,
31.10.2021 12:17:21,73,
14.11.2021 12:14:51,70,
28.11.2021 13:04:27,58,
05.12.2021 12:05:35,58,
12.12.2021 12:09:21,64,
19.12.2021 12:11:50,68,
26.12.2021 11:55:45,68,
23.01.2022 11:32:46,66,
30.01.2022 14:39:49,85,
06.02.2022 12:06:26,72,
13.02.2022 12:13:38,83,
20.02.2022 12:15:49,89,
27.02.2022 19:00:17,80,
13.03.2022 12:58:31,74,
20.03.2022 12:13:00,97,
27.03.2022 12:48:37,75,
03.04.2022 13:59:34,83,
10.04.2022 12:59:05,64,
17.04.2022 12:05:06,88,
24.04.2022 12:48:06,95,
01.05.2022 12:58:07,64,
08.05.2022 12:57:28,70,
15.05.2022 12:17:46,71,
22.05.2022 12:11:32,81,
29.05.2022 12:05:37,72,
05.06.2022 14:59:28,75,
12.06.2022 12:50:18,70,
19.06.2022 13:14:23,53,
26.06.2022 12:47:15,69,
03.07.2022 10:58:41,59,
10.07.2022 10:53:49,57,
17.07.2022 10:51:09,60,
24.07.2022 12:00:37,75,
31.07.2022 17:43:56,43,
07.08.2022 10:41:42,82,
15.08.2022 10:44:04,66,42
28.08.2022 14:30:11,78,44
05.09.2022 20:38:39,100,
20.09.2022 21:24:07,74,45
25.09.2022 20:28:17,79,44
02.10.2022 12:14:16,90,51
09.10.2022 14:47:45,70,37
16.10.2022 12:08:00,70,39
23.10.2022 13:26:59,79,37
30.10.2022 12:10:03,94,46
06.11.2022 12:13:41,96,49
13.11.2022 12:02:30,90,38
21.11.2022 11:03:51,70,38
27.11.2022 17:43:09,58,38
04.12.2022 13:42:35,67,41
11.12.2022 12:52:53,65,42
18.12.2022 13:34:07,55,38
01.01.2023 13:20:59,57,36
07.01.2023 12:54:18,69,56
15.01.2023 17:39:53,80,51
22.01.2023 12:04:49,83,63
29.01.2023 12:18:40,140,45
12.02.2023 17:46:39,70,41
19.02.2023 13:32:23,65,43
05.03.2023 15:34:01,72,47
12.03.2023 11:33:18,37,25
19.03.2023 18:02:25,78,48
02.04.2023 16:20:05,79,57
09.04.2023 14:10:19,66,48
16.04.2023 12:03:41,92,60
23.04.2023 12:10:58,77,47
30.04.2023 14:13:26,67,46
07.05.2023 12:09:25,48,24
14.05.2023 12:32:10,61,39
22.05.2023 8:28:20,64,51
28.05.2023 18:33:37,78,49
04.06.2023 17:22:17,73,43
11.06.2023 16:31:56,75,47
